site_id,site_name,tenant,phase1_kwh,phase2_kwh,phase3_kwh,total_kwh
1014,"Nmai Dzorn",Airtel,0.1,1548.7,0.1,1548.9
1021,Awoshie,Airtel,671.6,686.6,674.6,2032.8
1024,"Roman Ridge",Airtel,509.4,0,508.6,1018
1032,Ashiaman,Airtel,949.1,629,723.1,2301.2
1067,Baatsona,Airtel,-22761.7,-967.6,-2670.2,-26399.5
1073,"Tema Industrial",Airtel,0,0,1850.1,1850.1
1078,Ringway,Airtel,0,0,0,0
1088,Ada,Airtel,686.4,17.1,645.7,1349.2
1089,Dodowa,Airtel,0.10000000000036,1018.2,1144.5,2162.8
1091,"America House Area",Airtel,0,1257.6,807.9,2065.5
1092,"Teshie Tsui Bleoo",Airtel,805.1,772.7,0,1577.8
1094,"North Industrial Area",Airtel,916.6,1282,470.3,2668.9
1095,"Abeka Market",Airtel,1774.9,601.9,0.8,2377.6
1096,Abofu,Airtel,1612.8,446.7,475.4,2534.9
1100,Alajo,Airtel,565.7,585.7,584.9,1736.3
1103,Chemu,Airtel,491,0,0,491
1107,Katamanto,Airtel,489.4,0,112.2,601.6
1110,Nima,Airtel,980.9,0,1005.6,1986.5
1115,Amrahia,Airtel,338.7,161,174.6,674.3
1117,"Yellow House Area",Airtel,672.8,528.8,779.9,1981.5
1121,"Trassaco Valley",Airtel,11152.5,0,982.5,12135
1123,"Ashiaman Zenu",Airtel,1781,0,0,1781
1128,"Ashongman Hills",Airtel,399.1,419.7,429.2,1248
1136,"Community 19 ",Airtel,0,435.4,132.4,567.8
1139,Dawhenya,Airtel,492,511.5,695,1698.5
1140,"48 Engineering Regiment",Airtel,644.7,34.6,640.6,1319.9
1141,"Achimota Golf Course",Airtel,1280,144.8,516.5,1941.3
1145,Community12,Airtel,16.9,847,863.9,1727.8
1146,"Korle Gonno",Airtel,835.5,731.4,612.9,2179.8
1149,"Dansoman Ssnit",Airtel,529.2,-1451.8,-1383.3,-2305.9
1152,Sakora,Airtel,16.900000000001,626,649.2,1292.1
1155,"Comet Estates",Airtel,189.3,719.6,858.8,1767.7
1156,"Dansoman Ageege",Airtel,895.1,897.7,395.8,2188.6
1160,"Nima Roundabout",Airtel,635.5,634.7,620.5,1890.7
1164,"Achimota Newtown",Airtel,0,844.3,859.6,1703.9
1177,"Gbawe Bulemin",Airtel,488.7,476.8,486.1,1451.6
1180,"Nungua Brigade",Airtel,25.6,0,24.8,50.4
1182,"Lartebiokorshie Brigade",Airtel,729.2,728.8,727.4,2185.4
1188,"Nautical College",Airtel,334,326.2,337.3,997.5
1189,"Odorkor Official Town",Airtel,0,0,0,0
1194,"Saint Anthony School",Airtel,0.8,1269.1,1462.1,2732
1196,"Sapeiman ",Airtel,331.4,1214.1,262.4,1807.9
1199,"Kasoa Amanfro",Airtel,0,2118.6,0,2118.6
1211,"South Sutreso",Airtel,573.3,579.8,549.2,1702.3
1220,Ayeduase,Airtel,555.5,579.3,586.5,1721.3
1222,Asokwa,Airtel,1026.2,214.7,487.8,1728.7
1247,Goaso,Airtel,593.2,807.5,0,1400.7
1249,Nsuta,Airtel,469.3,0,519.5,988.8
1272,"New Tafo",Airtel,371.7,0,1398.1,1769.8
1274,Breman,Airtel,161.7,1140.4,615.1,1917.2
1276,Krofrom,Airtel,-1805,-20264.4,-7495,-29564.4
1278,"Cultural Centre",Airtel,0,0,114.5,114.5
1279,"Asokore Mampong",Airtel,494.8,432.5,412.2,1339.5
1282,"Kumasi Poly",Airtel,404.5,418.1,0,822.6
1283,"Kumasi Stadium",Airtel,18.6,1802,0,1820.6
1286,"Atonso Agogo",Airtel,0.7,858,838.3,1697
1287,Deduako,Airtel,7501.3,398,463.8,8363.1
1293,Atimatim,Airtel,833.9,411.8,428.8,1674.5
1298," Asante Akropong",Airtel,283.5,389.9,617,1290.4
1304,Sekondi,Airtel,375.3,0,357.1,732.4
1319,Apowa,Airtel,526.6,465.8,572.9,1565.3
1320,Jukwa,Airtel,0,1121.9,363.6,1485.5
1327,Anomabo,Airtel,-1091.6,0,-652.5,-1744.1
1329,"Half Assini",Airtel,1091.9,558.1,0,1650
1349,Inchaban,Airtel,213.3,1250.7,213.3,1677.3
1352,Prestea,Airtel,210.6,212,213.9,636.5
1355,Nsuayem,Airtel,124.4,141,139.6,405
1362,Adiembra,Airtel,6.7,363.3,340.8,710.8
1372,Mpohor,Airtel,651.8,304.6,309.4,1265.8
1373,Nkroful,Airtel,564.6,0,264,828.6
1376,Bussia,Airtel,0,393.7,393.6,787.3
1379,Fijai,Airtel,775.4,775.5,266.3,1817.2
1382,"Shama Junction",Airtel,-19561.2,0,0,-19561.2
1383,"Pipe Ano",Airtel,556.5,551.6,518.6,1626.7
1388,Esipong,Airtel,996.2,473.5,490.9,1960.6
1391,"Habour (T Di)",Airtel,579.1,589.2,540.8,1709.1
1395,Esikado,Airtel,16.7,0,16.4,33.1
1398,"Tanokrom West",Airtel,-0.2,1479.8,0,1479.6
1406,Juapong,Airtel,37.799999999999,36.3,37.200000000001,111.3
1408,Jejeti,Airtel,373,394.1,369.9,1137
1414,Asafo,Airtel,298.3,307.5,323.9,929.7
