site_id,site_name,tenant,phase1_kwh,phase2_kwh,phase3_kwh,total_kwh
1907,"Pentecost Junction (Ablekuma I",Airtel,12.1,0.8,486,498.9
1908,"Teshie Township",Airtel,162.7,155.1,172.7,490.5
1910,Chantan,Airtel,0,190.9,585.8,776.7
1921,"Abensu (Pokuase)",Airtel,169.6,0,314.4,484
1923,"Teshie Tsui Bleoo li (Alloway)",Airtel,4.4,355.4,196.5,556.3
1926,"Ashiaman Night Market",Airtel,633.7,0,0,633.7
1940,"Dome li (Asafo Adjei)",Airtel,161.3,153.8,0,315.1
1941,"Nungua Adorgon",Airtel,251.7,5,250.8,507.5
1942,Anyaa,Airtel,110,116.6,115.4,342
1944,"Russia Ii",Airtel,203.3,400.5,209.9,813.7
1948,"New Sebrepor",Airtel,419.5,44.1,57.5,521.1
1956,"Anyaa  Nic Down",Airtel,77.8,75.8,78.5,232.1
1965,"Kasoa Ii/Iron City",Airtel,260.8,0,272.3,533.1
1969,"Nima Market/Nima Research",Airtel,207.9,214.1,194.1,616.1
3202,Yamfo,Airtel,28.900000000001,85.2,85,199.1
