site_id,site_name,tenant,phase1_kwh,phase2_kwh,phase3_kwh,total_kwh
1468,Kwabeng,Tigo,671,220.2,222.4,1113.6
1469,"Abrewa Nkwanta/New Kotec",Tigo,817.2,1756.4,0,2573.6
1504,"Wa New",Tigo,1949,636,837.9,3422.9
1513,Dairi,Tigo,989.8,603.3,393.5,1986.6
1516,Walewale,Tigo,410.7,1945.6,349.5,2705.8
1531,Savelugu,Tigo,380.4,179.9,602.3,1162.6
1534,Gambaga,Tigo,254.1,966,497.4,1717.5
1539,Salaga,Tigo,12.5,0,61.4,73.9
1542,Pwalugu,Tigo,478.7,72.3,1302.3,1853.3
1543,"Bolga Township",Tigo,34.9,2144.5,937.6,3117
1545,Paga,Tigo,28.9,349.2,350.6,728.7
1546,"Wa UDS",Tigo,187.9,2664.5,1097.1,3949.5
1555,"Wa Air Strip",Tigo,1189.7,0,0,1189.7
1556,"Bolgatanga Zaare",Tigo,329.8,327.6,332.8,990.2
1562,Chiana,Tigo,610,725.3,619.8,1955.1
1564,Pusiga,Tigo,933.8,822.5,664.2,2420.5
1566,Fellimong,Tigo,433.3,406.8,197.4,1037.5
1591,"Nalerigu 1",Tigo,408.2,62.6,524.1,994.9
1594,"Tishigu (Tamale Town Center)",Tigo,0.1,930.5,2161.8,3092.4
1599,"Dobile (Wa Ii)",Tigo,770.1,0,0,770.1
1607,"Ho Stadium",Tigo,1202.7,658.1,596.2,2457
1611,Akwatia,Tigo,2236.8,0.29999999999995,1323.1,3560.2
1614,"Ho Tsikpotar",Tigo,249.1,149.2,238.1,636.4
1616,Abutia,Tigo,295.9,534.8,322,1152.7
1620,"Dabala Junction",Tigo,506.6,1127.1,180.4,1814.1
1643,Peki,Tigo,836.4,192.3,851.3,1880
1645,Denu,Tigo,904.1,1107.6,931.6,2943.3
1646,Anloga,Tigo,720.8,1093.9,631.7,2446.4
1652,Abor,Tigo,481.1,397.6,243.5,1122.2
1654,Have,Tigo,578.6,235.4,236.4,1050.4
1708,"Kojokrom Ii (Ahen Kofi)",Tigo,1710.4,1136.7,1151.8,3998.9
1714,Abura,Tigo,1107.8,648.8,564.8,2321.4
1715,"Adum Banso",Tigo,596,202.1,220.8,1018.9
1726,Bedum,Tigo,470.3,0,898.3,1368.6
1730,Effaso,Tigo,142.7,0,66,208.7
1733,"Jeway Wharf",Tigo,0,133.6,140.5,274.1
1736,Nsawura,Tigo,37,893.1,249,1179.1
1737,"Adiembra Ii (Fijai West)",Tigo,1177.6,758.6,568.2,2504.4
1738,"Osei Kojokrom",Tigo,426.5,209.5,437.2,1073.2
1742,Simpa,Tigo,872.4,339.1,418.3,1629.8
1746,"Wassa Akropong",Tigo,0,888.3,1104.6,1992.9
1747,"Tanokrom East",Tigo,1801,1896.8,975.6,4673.4
1753,Eyisam,Tigo,256.3,406.9,532,1195.2
1754,"Topp/Kwanyaako ",Tigo,354,364.2,402.5,1120.7
