site_id,site_name,tenant,phase1_kwh,phase2_kwh,phase3_kwh,total_kwh
1013,Odorkor,Vodafone,1030.7,1062.3,1033.7,3126.7
1014,"Nmai Dzorn",Vodafone,1243.7,0,0,1243.7
1067,Baatsona,Vodafone,111.6,113.1,77.4,302.1
1073,"Tema Industrial",Vodafone,1036.3,0,0,1036.3
1090,Afienya,Vodafone,1170.5,0,0,1170.5
1091,"America House Area",Vodafone,1747.6,0,0,1747.6
1092,"Teshie Tsui Bleoo",Vodafone,816.5,871.2,0.1,1687.8
1098,"Akoko Foto",Vodafone,1300,0,0,1300
1099,Jamestown,Vodafone,1157.4,0,0,1157.4
1102,"Ashiaman Market",Vodafone,8162.4,0,0,8162.4
1114,"Taifa Burkina",Vodafone,1784.9,0,0,1784.9
1115,Amrahia,Vodafone,452.9,0,0,452.9
1121,"Trassaco Valley",Vodafone,857,0,0,857
1125,"Kpone ",Vodafone,1274.4,0,0,1274.4
1128,"Ashongman Hills",Vodafone,1011.4,0,0,1011.4
1131,"Agyen Kotoku",Vodafone,911.1,0,0,911.1
1135,Oyarifa,Vodafone,346.8,0,0,346.8
1136,"Community 19 ",Vodafone,414.9,0,0,414.9
1138,"Nungua Fertilizer (Estate)",Vodafone,377.9,0,0,377.9
1139,Dawhenya,Vodafone,813.5,0,0,813.5
1141,"Achimota Golf Course",Vodafone,1256.5,0,0,1256.5
1142,"Community 3",Vodafone,1730.1,0,0,1730.1
1145,Community12,Vodafone,1777.9,0,0,1777.9
1147,Southablekuma,Vodafone,1060.8,0,0,1060.8
1153,Okponglo,Vodafone,7895.8,0,0,7895.8
1154,Kaneshie,Vodafone,1663.1,0,0,1663.1
1155,"Comet Estates",Vodafone,1351.3,0,0,1351.3
1160,"Nima Roundabout",Vodafone,1025.6,0,0,1025.6
1163,Dome,Vodafone,1666.1,0,0,1666.1
1166,"Achimota Market",Vodafone,0,0,1379.2,1379.2
1168,"Adjei Kojo Main",Vodafone,1637.3,0,0,1637.3
1175,"Dansoman Exhibition",Vodafone,905.3,0,0,905.3
1177,"Gbawe Bulemin",Vodafone,1101.2,0,0,1101.2
1180,"Nungua Brigade",Vodafone,50,0,0,50
