site_id,site_name,tenant,phase1_kwh,phase2_kwh,phase3_kwh,total_kwh
1832,Sepaase,MTN,15.1,14.6,14.5,44.2
1131,"Agyen Kotoku",MTN,236,123.5,122.1,481.6
1362,Adiembra,MTN,248.1,241.8,61,550.9
1174,"Community Twenty Two",MTN,259.5,125.5,123.9,508.9
1908,"Teshie Township",MTN,218.1,109.3,103.9,431.3
1064,Kwashiman,MTN,13,7,7.7,27.7
1965,"Kasoa Ii/Iron City",MTN,170.1,167.8,165.7,503.6
1391,"Habour (T Di)",MTN,0,231.8,222.4,454.2
1735,Mpataba,MTN,32.9,0,34.9,67.8
1416,"Odumasi Krobo",MTN,107.4,108.6,113,329
1024,"Roman Ridge",MTN,271.6,124.2,120.2,516
1203,Oduom,MTN,54.4,51.7,51.2,157.3
1344,"Assin Sibenso",MTN,95.4,0,87.5,182.9
1123,"Ashiaman Zenu",MTN,129.3,124.2,257,510.5
1147,Southablekuma,MTN,-358.4,-348,-320,-1026.4
1566,Fellimong,MTN,180.7,98.1,0,278.8
1146,"Korle Gonno",MTN,249,248.3,259.7,757
1182,"Lartebiokorshie Brigade",MTN,126.4,141.7,129,397.1
1562,Chiana,MTN,97.6,97.4,102.4,297.4
1652,Abor,MTN,76,153.4,169.9,399.3
1155,"Comet Estates",MTN,266.9,172.8,97.6,537.3
1168,"Adjei Kojo Main",MTN,233.5,365.8,223.6,822.9
1351,"Sefwi Bekwai",MTN,233.1,319.3,0,552.4
1607,"Ho Stadium",MTN,130.6,132.7,131.1,394.4
1714,Abura,MTN,132.4,136.7,0,269.1
1097,"Abossey Okai",MTN,203.6,107.9,100.6,412.1
1275,"Suame Magazine",MTN,36,53.9,16.2,106.1
1398,"Tanokrom West",MTN,373.8,0,210.7,584.5
1434,"Koforidua Newtown",MTN,209.7,273.3,126.6,609.6
1373,Nkroful,MTN,236.4,94.5,93.7,424.6
1438,Adweso,MTN,160.9,231.4,248.3,640.6
1956,"Anyaa  Nic Down",MTN,50.9,55,55.7,161.6
