site_id,site_name,tenant,phase1_kwh,phase2_kwh,phase3_kwh,total_kwh
1730,Effaso,MTN,294.3,282.7,304.2,881.2
1965,"Kasoa Ii/Iron City",MTN,546.6,538.6,531.8,1617
1174,"Community Twenty Two",MTN,666.8,336.1,308.6,1311.5
1391,"Habour (T Di)",MTN,12.299999999999,762,723.6,1497.9
1362,Adiembra,MTN,790,769.9,194.2,1754.1
1131,"Agyen Kotoku",MTN,442.5,468.4,489.8,1400.7
1185,"Neoplan (Circle)",MTN,896.4,733.3,886.7,2516.4
1146,"Korle Gonno",MTN,-9635.3,-8952.4,-8782.5,-27370.2
1182,"Lartebiokorshie Brigade",MTN,331.2,364.7,337.6,1033.5
1123,"Ashiaman Zenu",MTN,433.2,416.3,859.5,1709
1147,Southablekuma,MTN,-1673.4,-1597.5,-1482.3,-4753.2
1566,Fellimong,MTN,351.6,190.8,0,542.4
1734,"Juabesu Nkwanta",MTN,158.9,147,0,305.9
1373,Nkroful,MTN,757.4,297.6,300.6,1355.6
1438,Adweso,MTN,545.5,784.9,832.1,2162.5
1956,"Anyaa  Nic Down",MTN,157.2,163.1,172.8,493.1
1416,"Odumasi Krobo",MTN,352.3,357.9,373.5,1083.7
1786,Asempaneye,MTN,21.4,18.5,9.5,49.4
1122,Abokobi,MTN,232,255.4,268.5,755.9
1124,Ningo,MTN,310.6,339.1,657.8,1307.5
1344,"Assin Sibenso",MTN,-521.2,-363.9,-491.1,-1376.2
1155,"Comet Estates",MTN,582.7,317.5,305,1205.2
1168,"Adjei Kojo Main",MTN,758.1,1163.4,720.3,2641.8
1351,"Sefwi Bekwai",MTN,76.9,104.9,0,181.8
1607,"Ho Stadium",MTN,413.8,419.9,415.8,1249.5
1714,Abura,MTN,407.6,429,0,836.6
1097,"Abossey Okai",MTN,665.3,351.6,327.5,1344.4
1398,"Tanokrom West",MTN,364,0,204.9,568.9
1434,"Koforidua Newtown",MTN,685.3,865,408,1958.3
1113,Soko,MTN,134.5,146.6,317.9,599
1562,Chiana,MTN,317.9,316.9,332,966.8
1652,Abor,MTN,238.9,500.6,568.3,1307.8
