site_id,site_name,tenant,phase1_kwh,phase2_kwh,phase3_kwh,total_kwh
1078,Ringway,Tigo,18.3,19.5,5.1000000000001,42.9
1095,"Abeka Market",Tigo,17.5,12.400000000001,13,42.900000000001
1097,"Abossey Okai",Tigo,9.5,20.9,9.8999999999999,40.3
1119,"Adjei Kojo (Roman Down)",Tigo,17,11.299999999999,10.200000000001,38.5
1275,"Suame Magazine",Tigo,26.6,14.2,13.4,54.2
1352,Prestea,Tigo,24.1,16.4,10.9,51.4
1366,"Abura Dunkwa",Tigo,13.5,4.3000000000002,4.3999999999996,22.2
1382,"Shama Junction",Tigo,15.299999999999,8.8999999999996,7.6000000000004,31.799999999999
1398,"Tanokrom West",Tigo,14.8,15.2,2.6,32.6
1432,"Koforidua Gallaway",Tigo,21.799999999999,6.8999999999996,13.1,41.799999999999
1434,"Koforidua Newtown",Tigo,9.8999999999996,7.1000000000004,6.0999999999995,23.099999999999
1442,"Abomosu Kwabeng",Tigo,6.1999999999998,10.700000000001,0,16.900000000001
1842,Atasomanso,Tigo,9.5,7.3000000000002,6.6999999999998,23.5
1901,"Teshie Aboma",Tigo,3.3999999999999,12.6,6.0999999999999,22.1
1117,"Yellow House Area",Tigo,8.9000000000005,12.400000000001,5.5,26.800000000001
1218,Effeduase,Tigo,3.3999999999999,13.3,3.1000000000004,19.8
1271,"Buokrom Estates",Tigo,17.899999999998,9.5999999999995,9.8999999999996,37.399999999997
1413,Anyinam,Tigo,10.299999999999,11.099999999999,0.10000000000036,21.499999999998
1906,Sukura,Tigo,13.6,10.4,5.6,29.6
3202,Yamfo,Tigo,0,16.799999999999,3,19.799999999999
1013,Odorkor,Tigo,13.4,15.4,5.2,34
1021,Awoshie,Tigo,21.9,13.6,3.8000000000001,39.3
1058,"Ashale Botwe",Tigo,6,28.400000000001,13,47.400000000001
1091,"America House Area",Tigo,7.6999999999998,28.4,10,46.099999999999
1211,"South Sutreso",Tigo,12.400000000001,15.5,5.6999999999989,33.6
1272,"New Tafo",Tigo,2,16.8,8.9000000000001,27.7
1279,"Asokore Mampong",Tigo,4.4000000000001,19.1,8.1000000000004,31.600000000001
1320,Jukwa,Tigo,21.4,13,3.3,37.7
1392,Bawdie,Tigo,8.5,4.6999999999998,5.1999999999998,18.4
1414,Asafo,Tigo,9.1999999999989,2.6999999999989,9.5,21.399999999998
1620,"Dabala Junction",Tigo,4.8999999999996,11.5,1.7,18.1
1801,"Santase Roundabout",Tigo,2.3999999999996,1.1000000000004,10,13.5
1845,"Old Tafo (New Tafo Ii)",Tigo,8.6000000000004,12,19.599999999999,40.2
1851,"Atwima Koforidua (Abuakwa 2)",Tigo,14.5,13.5,0,28
1899,Nkasiem,Tigo,8.0999999999995,2.1000000000001,0,10.2
1907,"Pentecost Junction (Ablekuma I",Tigo,8.5999999999999,4.1999999999998,3,15.8
1910,Chantan,Tigo,1.1,2.7,4,7.8000000000001
1969,"Nima Market/Nima Research",Tigo,0,17.599999999999,0,17.599999999999
1067,Baatsona,Tigo,4.8,23.6,7,35.4
1149,"Dansoman Ssnit",Tigo,9.7000000000003,14.5,5.5,29.7
1287,Deduako,Tigo,6.2999999999993,7.2000000000007,21.700000000001,35.200000000001
1293,Atimatim,Tigo,8.7000000000007,16.800000000001,12.4,37.900000000001
1329,"Half Assini",Tigo,16.799999999999,8.5,7.3000000000002,32.599999999999
1154,Kaneshie,Tigo,11.9,7.1000000000001,24,43
1228,Juabeng,Tigo,12.7,5.5,9.9000000000001,28.1
1545,Paga,Tigo,0.2,2.5,2.5,5.2
1005,Teshie,Tigo,23.2,25.3,29.6,78.1
1024,"Roman Ridge",Tigo,6.1,22.4,6.2,34.7
1073,"Tema Industrial",Tigo,9.2000000000007,16.5,5.3999999999996,31.1
